,sitename,x,y,detection_history.o1,detection_history.o2,detection_history.o3,detection_history.o4,year,FID_allNY_,FID_allNY_10km
349,50,328185,4674947,1,0,0,NA,2014,9701,9702
350,51,332499,4674423,0,0,0,NA,2014,12384,12385
351,52,335942,4674069,0,0,0,NA,2014,6182,6183
352,53,285421,4701921,1,0,0,NA,2014,5847,5848
353,54,467419,4673321,NA,0,0,NA,2014,12192,12193
354,55,472751,4673928,0,0,0,NA,2014,8901,8902
355,56,477183,4676203,0,1,0,NA,2014,920,921
356,57,478730,4675441,0,0,0,NA,2014,6175,6176
357,58,481877,4674153,0,0,1,NA,2014,5803,5804
358,59,138680,4678680,1,1,1,NA,2014,12237,12238
359,60,142938,4679417,0,0,1,NA,2014,6113,6114
360,61,145958,4679197,NA,1,0,NA,2014,353,354
361,62,251602,4679059,0,0,1,NA,2014,5307,5308
362,63,255587,4678131,1,0,0,NA,2014,11785,11786
363,64,258770,4677105,0,0,0,NA,2014,3834,3835
364,65,301106,4679688,0,0,1,NA,2014,2614,2615
365,66,303543,4677838,0,0,0,NA,2014,2431,2432
366,67,324359,4680466,0,0,0,NA,2014,2482,2483
367,68,328277,4679741,0,0,0,NA,2014,12093,12094
368,69,331609,4679632,0,0,0,NA,2014,6087,6088
369,70,335550,4678226,0,0,0,NA,2014,4055,4056
370,71,341401,4677604,0,0,0,NA,2014,8177,8178
371,72,342962,4678610,0,0,0,NA,2014,3880,3881
372,73,346558,4678262,0,0,1,NA,2014,9857,9858
373,74,350840,4679164,0,0,0,NA,2014,3194,3195
374,75,378559,4679104,0,0,0,NA,2014,12728,12729
375,76,382145,4678870,0,0,0,NA,2014,4994,4995
376,77,398513,4678815,NA,0,0,NA,2014,4926,4927
377,78,440180,4678907,0,0,0,NA,2014,3412,3413
378,79,444261,4679592,0,0,0,NA,2014,7444,7445
379,80,448243,4678206,0,1,1,NA,2014,796,797
380,81,452022,4679914,0,0,0,NA,2014,7452,7453
381,82,469029,4679893,0,0,0,NA,2014,4694,4695
382,83,470386,4680092,0,0,1,NA,2014,8873,8874
383,84,482941,4676999,1,0,0,NA,2014,8024,8025
384,85,488147,4678442,0,0,1,NA,2014,8278,8279
385,86,128917,4681784,0,0,0,NA,2014,3896,3897
386,87,134402,4682705,0,0,0,NA,2014,6506,6507
387,88,169606,4681026,0,0,0,NA,2014,10450,10451
388,89,173629,4682926,0,0,1,NA,2014,9075,9076
389,90,226233,4682752,0,1,0,NA,2014,1323,1324
390,91,230112,4683973,0,0,1,NA,2014,4092,4093
391,92,234630,4683355,0,1,1,NA,2014,10710,10711
392,93,289919,4682303,0,0,0,NA,2014,7677,7678
393,94,292872,4683529,0,0,0,NA,2014,10523,10524
394,95,297709,4682894,1,0,1,NA,2014,2047,2048
