FID,Station,o1,o2,o3,o4,o5,year,utm_x,utm_y,FID_allNY_,FID_allNY_10km
51,3C7,1,1,1,1,1,2018,517672.668,4603025.409,10899,10900
5,3C8,0,0,0,1,0,2018,519870.009,4592161.103,10093,10094
36,3C9,1,1,1,1,1,2018,515844.264,4600497.642,9596,9597
63,3D1,1,1,0,1,1,2018,549465.061,4610704.683,7911,7912
32,3D10,1,1,1,1,1,2018,544840,4599130,7710,7711
12,3D2,0,1,1,0,0,2018,545900.324,4595084.108,1061,1062
57,3D3,0,0,0,0,0,2018,553750.172,4605641.492,5324,5325
28,3D4,1,1,1,1,0,2018,540874.193,4598371.27,4354,4355
46,3D5,0,1,0,0,0,2018,550115.684,4600988.757,595,596
43,3D6,0,0,0,NA,0,2018,554870.18,4600839.107,5341,5342
9,3D7,0,1,0,1,NA,2018,552419.967,4593736.265,8070,8071
60,3D8,0,1,0,0,0,2018,546655.913,4607267.357,12080,12081
54,3D9,0,0,1,1,0,2018,545999.275,4603894.587,9954,9955
659,4A1,0,0,0,0,0,2018,495817.652,4718787,12482,12483
637,4A10,0,0,0,0,0,2018,499159,4716645,1012,1013
666,4A12,0,0,0,NA,0,2018,490876,4721118,2811,2812
631,4A13,0,0,0,0,0,2018,498746,4715460,1012,1013
635,4A14,0,0,0,0,0,2018,494480,4716283,134,135
672,4A2,0,0,0,0,0,2018,497097,4723018,7650,7651
653,4A3,0,0,0,0,0,2018,500738,4717455,11286,11287
612,4A4,0,0,0,0,0,2018,497281,4712997,10033,10034
594,4A5,0,0,0,0,0,2018,505205,4711397,10689,10690
649,4A6,0,0,0,0,0,2018,491686,4717301,6821,6822
618,4A7,0,0,0,0,NA,2018,491498,4713978,134,135
667,4A8,0,0,0,0,0,2018,490726,4721733,2811,2812
662,4A9,0,0,0,0,0,2018,493101,4720784,7189,7190
587,4B1,0,0,0,0,0,2018,509562,4710095,9935,9936
568,4B10,1,1,1,1,1,2018,514661,4708994,4121,4122
601,4B11,0,NA,1,NA,NA,2018,520447,4712181,9338,9339
557,4B2,0,0,1,1,0,2018,519792,4707969,9609,9610
642,4B3,1,0,0,0,0,2018,523373,4717112,6690,6691
603,4B4,1,0,0,0,1,2018,518602,4712326,3382,3383
638,4B5,0,1,0,0,0,2018,511419,4716858,9648,9649
538,4B6,0,1,1,0,1,2018,512024,4705453,8286,8287
607,4B7,0,0,1,0,0,2018,525364,4712587,1263,1264
561,4B8,0,0,NA,0,0,2018,529750,4708341,5114,5115
494,4B9,0,0,0,0,0,2018,513863,4699258,11106,11107
117,4C1,1,0,1,1,0,2018,505640,4649897,7245,7246
147,4C10,1,0,1,0,1,2018,508005,4654290,6144,6145
164,4C11,1,1,1,0,1,2018,512275,4656493,6451,6452
130,4C13,1,1,0,1,1,2018,513525,4651757,1720,1721
143,4C14,1,1,1,1,1,2018,512298,4653836,1962,1963
127,4C2,1,1,1,1,1,2018,513082,4651576,1962,1963
158,4C3,1,1,1,1,1,2018,518065,4655489,761,762
137,4C4,1,0,1,1,1,2018,505489,4653256,4697,4698
133,4C5,1,1,1,1,1,2018,510249,4652783,4331,4332
149,4C6,1,1,1,1,1,2018,515378,4654431,3407,3408
152,4C7,1,1,1,1,1,2018,504313,4655334,7735,7736
166,4C8,1,1,1,0,1,2018,521230,4658933,9865,9866
161,4C9,1,1,0,1,0,2018,506981,4655733,7735,7736
177,4D1,1,0,0,0,0,2018,466024,4668790,2004,2005
